Track Name,Artist,Album,Release Date,Spotify Duration (ms),Spotify Track URL,YouTube Original Video URL,Original Duration,YouTube Piano Solo Video URL,Piano Solo Duration,Year,Decade,Spotify Duration (min),Original Duration (min),Piano Duration (min),Diff_Original_Piano
Nada por Mim - Ao Vivo,Paula Toller,Nosso (Ao Vivo),2008-01-01,210233,https://open.spotify.com/track/5D7q1wP8qMMgj0C4IS3qle,https://www.youtube.com/watch?v=etkqX1AhvnU,211000,https://www.youtube.com/watch?v=S94qP0uAxPY,60000.0,2008,2000,3.5038833333333335,3.5166666666666666,1.0,2.5166666666666666
A Cidade Ideal,Sergio Bardotti,Os Saltimbancos Sinfônico,2017-01-13,364293,https://open.spotify.com/track/5h4SG1TYuBEBCrDHLscfNJ,https://www.youtube.com/watch?v=qXy4S8Lz8A0,274000,https://www.youtube.com/watch?v=6Em4buARGdM,66000.0,2017,2010,6.07155,4.566666666666666,1.1,3.4666666666666663
Quase Sem Querer - Ao Vivo,Maria Gadú,Multishow Ao Vivo,2010-11-20,206626,https://open.spotify.com/track/7Dq7nZVjT5obQKTG7CmaNf,https://www.youtube.com/watch?v=svX8Jei6-ew,193000,https://www.youtube.com/watch?v=OKBEcQo4Mlw,156000.0,2010,2010,3.443766666666667,3.216666666666667,2.6,0.6166666666666667
Deixe Me Ir (feat. Pablo Martins) - Acústico 1Kilo,1Kilo,Deixe Me Ir (feat. Pablo Martins) [Acústico 1Kilo],2017-03-15,213191,https://open.spotify.com/track/6JKkP9ABQzYZUFSKSVDKIc,https://www.youtube.com/watch?v=SymksXFeDeg,214000,https://www.youtube.com/watch?v=nGH1MChqiqQ,151000.0,2017,2010,3.553183333333333,3.566666666666667,2.5166666666666666,1.0500000000000003
Minha Sereia,Carlos Moura,Minha Sereia,2020-05-13,193372,https://open.spotify.com/track/2Hv2yFyVNvkcWwEfqfNr6k,https://www.youtube.com/watch?v=unhIN4Qj6M8,194000,https://www.youtube.com/watch?v=LuaTccbuF0Q,77000.0,2020,2020,3.2228666666666665,3.2333333333333334,1.2833333333333334,1.95
Mãezinha do Céu,Joanna,Joanna em Oração,2002-09-15,198133,https://open.spotify.com/track/70UYw9sFzm4B4pTpgKRaXi,https://www.youtube.com/watch?v=xMLUigaXmyE,155000,https://www.youtube.com/watch?v=psD4DHAQ0c0,178000.0,2002,2000,3.302216666666667,2.5833333333333335,2.966666666666667,-0.3833333333333333
Não Vou Me Adaptar - Ao Vivo,Nando Reis,Não Vou Me Adaptar (Ao Vivo),2021-11-26,276887,https://open.spotify.com/track/4EXzmoiU4KAggC3UbBueCl,https://www.youtube.com/watch?v=dSE4Iq61-Z0,278000,https://www.youtube.com/watch?v=k1zjP2NBx1s,163000.0,2021,2020,4.6147833333333335,4.633333333333334,2.716666666666667,1.916666666666667
Atrás Da Porta - Ao Vivo,Chico Buarque,Chico 50 Anos - O Amante,1994-01-01,164040,https://open.spotify.com/track/5fFQR3M3CX39gHrQJ8Lwbl,https://www.youtube.com/watch?v=So4IcKA-MOU,236000,https://www.youtube.com/watch?v=AUmko97J50M,299000.0,1994,1990,2.734,3.933333333333333,4.983333333333333,-1.0500000000000003
Tatuagem,Chico Buarque,Calabar – O Elogio da Traição,1973-01-01,171533,https://open.spotify.com/track/55PhvfOJq2JdTiqRRE7WRA,https://www.youtube.com/watch?v=61ACd3_BWqU,172000,https://www.youtube.com/watch?v=y5r1POSSDsk,136000.0,1973,1970,2.8588833333333334,2.8666666666666667,2.2666666666666666,0.6000000000000001
Daquilo Que Eu Sei,Ivan Lins,Daquilo Que Eu Sei,1981-01-01,242800,https://open.spotify.com/track/7mXT5v06ELfQBdhNQqu137,https://www.youtube.com/watch?v=vpatFI3FKPg,243000,https://www.youtube.com/watch?v=Vp4D9frdwqQ,206000.0,1981,1980,4.046666666666667,4.05,3.433333333333333,0.6166666666666667
Aquarela Do Brasil,Gal Costa,Aquarela Do Brasil,1980-01-01,210426,https://open.spotify.com/track/290rUsOclQPPHHBACyViGT,https://www.youtube.com/watch?v=CA7N-CsY1os,230000,https://www.youtube.com/watch?v=S-jWPMhtRIg,208000.0,1980,1980,3.5071,3.8333333333333335,3.466666666666667,0.3666666666666667
Homenagem Ao Malandro,Chico Buarque,Chico Buarque,1978-01-01,180693,https://open.spotify.com/track/5GjdiVkuN9CKcUAHau1Huy,https://www.youtube.com/watch?v=K3pkQqksRW8,137000,https://www.youtube.com/watch?v=0CCHJZmiJCw,150000.0,1978,1970,3.01155,2.283333333333333,2.5,-0.21666666666666679
Nem Vem Que Não Tem,Wilson Simonal,"Alegria, Alegria!!!",1967-09-16,152613,https://open.spotify.com/track/0oL8aqq5iRE5SnxdxJ6FbK,https://www.youtube.com/watch?v=z_qknpPA5JA,159000,https://www.youtube.com/watch?v=7wD3ElvSvOw,217000.0,1967,1960,2.54355,2.65,3.6166666666666667,-0.9666666666666668
Cuitelinho,Renato Teixeira,Amizade Sincera Il,2015-03-16,205893,https://open.spotify.com/track/7ItN2c4JhhHbpklacsE85R,https://www.youtube.com/watch?v=5uQHMDfn7vM,145000,https://www.youtube.com/watch?v=iXYV9rU7O_g,110000.0,2015,2010,3.43155,2.4166666666666665,1.8333333333333333,0.5833333333333333
Eu Apenas Queria Que Você Soubesse,Gonzaguinha,Bis (Dois CDs),2000-01-01,155000,https://open.spotify.com/track/2YkzDbt9yD6UuizFPAJT3k,https://www.youtube.com/watch?v=YfAVj3WjSfs,155000,https://www.youtube.com/watch?v=iDWfnNNqKh4,290000.0,2000,2000,2.5833333333333335,2.5833333333333335,4.833333333333333,-2.2499999999999996
Meu Bem-Querer (Ao Vivo),Djavan,"Djavan ""Ao Vivo""",1999-03-25,254800,https://open.spotify.com/track/5ogHB4oYt1C7kaWJYm5MDG,https://www.youtube.com/watch?v=oYQ0KY8L1H0,234000,https://www.youtube.com/watch?v=sIvs7Z5n7kM,61000.0,1999,1990,4.246666666666667,3.9,1.0166666666666666,2.8833333333333333
Compasso,Angela Ro Ro,Compasso,2006-07-08,293573,https://open.spotify.com/track/3ugSgwLjJ0CRp32yigqqPG,https://www.youtube.com/watch?v=I8Y-DqFcBnM,294000,https://www.youtube.com/watch?v=honXCQv4sKc,172000.0,2006,2000,4.892883333333334,4.9,2.8666666666666667,2.0333333333333337
Vieste,Ivan Lins,Mãos,1987-01-01,251093,https://open.spotify.com/track/2f2gSMEjK6shXv3maOXVwq,https://www.youtube.com/watch?v=IjTIsc0c5BA,252000,https://www.youtube.com/watch?v=ZP1HtGrT8F4,157000.0,1987,1980,4.1848833333333335,4.2,2.6166666666666667,1.5833333333333335
