Title,Artist
"Senhor, Quando Te Vejo",Nelsinho Corrêa
Sonho Meu (part. Gal Costa),Maria Bethânia
Lisboa-Madrid (part. Jorge Drexler),ANAVITÓRIA
O 40,Faróis Acesos
Trem-Bala (part. Luan Santana),Ana Vilela
Quando Fevereiro Chegar,Geraldo Azevedo
Fica (part. Matheus e Kauan),ANAVITÓRIA
That's My Way (part. Edi Rock),Seu Jorge
Samba do Approach (part. Zeca Pagodinho),Zeca Baleiro
Memória,Carlos Drummond de Andrade
Retrovisor (part. Zezé Di Camargo e Luciano),Fagner
Cabecinha No Ombro (part. Roberta Miranda),Fagner
Meu Jeito de Amar,Ricky Vallen
Nos Bailes da Vida (part. Roupa Nova),Milton Nascimento
O Homem; As Viagens,Carlos Drummond de Andrade
Herdeiros do Futuro (part. Leandro e Leonardo),Toquinho
Laços (part. Ana Vilela),Nando Reis
Peixinhos do Mar (part. Tavinho Moura),Milton Nascimento
Geleira do Tempo (part. Jorge & Mateus),ANAVITÓRIA
Calúnias (Telma Eu Não Sou Gay),Ney Matogrosso
NÓS NUS (part. Leo Cavalcanti),Caetano Veloso
O Amor Bate Na Aorta,Carlos Drummond de Andrade
Todo Homem (part. Caetano Veloso e Moreno Veloso),Zeca Veloso
Pra Melhorar (part. Seu Jorge e Flor),Marisa Monte
Fico Assim Sem Você,Adriana Calcanhotto
Vou Banindo (Espiral),Claudiney Prieto
Casinha Branca,Peninha
Tchananá Naná,Mike de Mosqueiro
Tudo Que Se Quer (All Ask I You) (part. Verônica Sabino),Emílio Santiago
Fora de Ordem,Caetano Veloso
Aprendiz,Ricardo Fabião
Grão de Areia (part. Xande de Pilares),Rubel
É Páscoa,Sebastião Junior
Iolanda (part. Simone),Chico Buarque
O Cio da Terra (part. Chico Buarque),Milton Nascimento
Amar,Carlos Drummond de Andrade
Sítio do Pica-pau Amarelo,Cibelle
A Morte,Pedro Bial
Maracatu Atômico (part. Chico Science),Nação Zumbi
Gente Feliz (Sinceridade) (part. BaianaSystem),Vanessa da Mata
"Praia do Futuro (part. BaianaSystem, Antônio Carlos e Jocafi)",Seu Jorge
Ser Diferente É Normal,Gilberto Gil
Mais Um Na Multidão (part. Marisa Monte),Erasmo Carlos
salto (part. ANAVITÓRIA),Tó Brandileone
As Sem - Razões do Amor,Carlos Drummond de Andrade
Um Girassol da Cor do Seu Cabelo,Clube da Esquina
Nossas Fotos (part. Leon),Gaki
Céu de Santo Amaro (part. Flávio Venturini),Caetano Veloso
Normal É Ser Diferente,Jair Oliveira
Mudança,Marina Aquino
Volta Por Cima,Paulo Vanzolini
Infância,Carlos Drummond de Andrade
Ómi Tútu ao Olúfon – Água Fresca Para o Senhor de Ifón,Jéssica Ellen
Hino do Fortaleza Esporte Clube,Fagner
O Tempo Passa? Não Passa,Carlos Drummond de Andrade
"Ai, Que Saudades da Amélia",Mário Lago
Devagarinho (part. Mariana Volker),Gilsons
Nada Será Como Antes (part. Lô Borges),Milton Nascimento
Pedaço de Mim (part. Zizi Possi),Chico Buarque
universo de coisas que eu desconheço (part. Lagum),ANAVITÓRIA
Paixão,Kleiton e Kledir
Um Girassol da Cor de Seu Cabelo,Milton Nascimento
Tô Sem Você (part. João Gomes),Mãeana
"Toma Lá, Dá Cá",João Bosco
"Fé Cega, Faca Amolada (part. Beto Guedes)",Milton Nascimento
Mundo Grande,Carlos Drummond de Andrade
Amor e Seu Tempo,Carlos Drummond de Andrade
Nós Dois,Tadeu Franco
Oito Anos,Adriana Calcanhotto
Língua Portuguesa,Olavo Bilac
"Canção Pra Amazônia (part. Agnes Nunes, Anavitória, Arnaldo Antunes, Baco Exu do Blues, Caetano Veloso, Camila Pitanga, Céu, Chico César, Criolo, Daniela Mercury, Diogo Nogueira e outros)",Nando Reis
Lembranças (part. Martinho da Vila),Nelson Gonçalves
Algum Ritmo (part. Jovem Dionísio),Gilsons
Flutua (part. Liniker),Johnny Hooker
Nuvem Negra (part. Djavan e Gal Costa),Chico Buarque
Cuidando de Longe (part. Marília Mendonça),Gal Costa
Outrória (part. OutroEu),ANAVITÓRIA
Meu Pedaço de Pecado (part. João Gomes),Mãeana
Menino Maluquinho (part. Rita Lee),Milton Nascimento
Via Láctea,Olavo Bilac
No Escuro (part. ANAVITÓRIA),Ana Gabriela
Janta (part. Mallu Magalhães),Marcelo Camelo
Aguei (part. Jovem Dionísio),ANAVITÓRIA
"Não Te Largo, Não Te Troco (part. Melim)",Ana Gabriela
Trem-Bala (Especial Dia Das Mães),Ana Vilela
Frevo N°3,Leila Pinheiro
Nosso Tempo,Carlos Drummond de Andrade
Não Se Esqueça de Mim (part. Erasmo Carlos),Nana Caymmi
Aurora,Mário Lago
Dueto (part. Clara Buarque),Chico Buarque
Como Vai Você,Adriana Calcanhotto
Mãos Dadas,Carlos Drummond de Andrade
Jardim dos Animais (Paraíso),Fagner
"Rios, Pontes & Overdrives (part. Chico Science)",Nação Zumbi
Xique-xique,Tom Zé
Haiti (part. Gilberto Gil),Caetano Veloso
Vai Tomar No Cu,Cris Nicolotti
Clube da Esquina II,Clube da Esquina
Hino de Oxalá,Luci Rosa
