Track Name,Artist,Album,Release Date,Spotify Duration (ms),Spotify Track URL,YouTube Original Video URL,Original Duration,YouTube Piano Solo Video URL,Piano Solo Duration
A noite,Tiê,Esmeraldas (Álbum Comentado),2014-09-23,218040,https://open.spotify.com/track/06XSmh92M0FIYNGC4Ss0CX,https://www.youtube.com/watch?v=1Ngn3fZIK2E,PT3M41S,https://www.youtube.com/watch?v=MmmlS-x0a1o,PT3M54S
Naquela Mesa,Nelson Gonçalves,Passado E Presente,1974-03-30,182293,https://open.spotify.com/track/4dkFG1pSn2czTCkLncpnep,https://www.youtube.com/watch?v=O7z_22bVNUg,PT2M28S,https://www.youtube.com/watch?v=HwttWypFU1E,PT2M34S
Um Amor Puro,Djavan,"Djavan ""Ao Vivo""",1999-03-25,327000,https://open.spotify.com/track/3PlKQNlbL4767rND3HnqSI,https://www.youtube.com/watch?v=Af7ieNv0wXY,PT5M29S,https://www.youtube.com/watch?v=JoPSNpsyc3c,PT4M10S
Felicidade,Marcelo Jeneci,Feito Pra Acabar,2010-11-30,252600,https://open.spotify.com/track/7wqojWtf69NNjw3P5wMst6,https://www.youtube.com/watch?v=7pD8k2zaLqk,PT5M12S,https://www.youtube.com/watch?v=D1Zik9kuNoM,PT4M45S
Sozinho - Ao Vivo,Caetano Veloso,Prenda Minha,1998-01-01,190533,https://open.spotify.com/track/02a8cGumnKuEPgoCzmalJp,https://www.youtube.com/watch?v=mwF4js9oFMw,PT4M29S,https://www.youtube.com/watch?v=4byl7DM1TcM,PT4M3S
Ainda Bem,Marisa Monte,O Que Você Quer Saber de Verdade,2011-01-01,215520,https://open.spotify.com/track/43BCxznTSBLcXzu4lJ8KW5,https://www.youtube.com/watch?v=xJNKT9HAXRc,PT3M45S,https://www.youtube.com/watch?v=Cqcv-hPTUh4,PT3M49S
Poema,Ney Matogrosso,Olhos De Farol,1999,262533,https://open.spotify.com/track/7qvL8BbYdxvhOinapMiEeF,,,https://www.youtube.com/watch?v=RPmMlB_X_wo,PT3M55S
Rio 40 Graus (feat. Fausto Fawcett) - Medley,Fernanda Abreu,SLA² ~ Be Sample,1992-07-05,309033,https://open.spotify.com/track/0gDi3bgUagARXB0xMj1wXs,,,,
Oração Ao Tempo - Remixed Original Album,Caetano Veloso,Cinema Transcendental,1979-01-01,206906,https://open.spotify.com/track/7oz1o6N5NDdTXQCZSfB3SO,https://www.youtube.com/watch?v=qNlPLFsBNbc,PT3M27S,https://www.youtube.com/watch?v=wFZx3Fz2NHM,PT23S
O bêbado e a equilibrista,Elis Regina,Essa Mulher,1979-05-17,231358,https://open.spotify.com/track/3eVyDZXJPJzUKkyWP6eLyc,https://www.youtube.com/watch?v=LQCf1EsaGjM,PT3M40S,https://www.youtube.com/watch?v=nMnvX8cZgvs,PT3M35S
Como Nossos Pais,Elis Regina,Falso Brilhante,1976-01-05,261600,https://open.spotify.com/track/2ZC8sdv4Kvuql7Q9T8Agzv,https://www.youtube.com/watch?v=h50uBbwnEVM,PT2M28S,https://www.youtube.com/watch?v=aH9wagWQZgU,PT3M6S
Maria Maria,Milton Nascimento,Clube Da Esquina 2,1978-01-02,184466,https://open.spotify.com/track/1nl13AcSpiCKdbkhtvJoo7,https://www.youtube.com/watch?v=RKb9WiYcfLM,PT2M10S,https://www.youtube.com/watch?v=J1WzbVwxhlw,PT2M58S
Encontros E Despedidas,Milton Nascimento,Encontros E Despedidas,1985-01-08,214080,https://open.spotify.com/track/4RfH0fVOtKKsEFINARThZ2,https://www.youtube.com/watch?v=ynfWZOd0WC8,PT2M29S,https://www.youtube.com/watch?v=OqS3EPGVZu8,PT3M27S
Apesar De Você,Chico Buarque,Chico Buarque,1978-01-01,235546,https://open.spotify.com/track/2GAFZG9Z7UGS1iMm4Idrnr,,,https://www.youtube.com/watch?v=YZTK4mCfbb0,PT4M20S
Amado,Vanessa Da Mata,Sim,2007,249973,https://open.spotify.com/track/1h0f2T0DT3EVYnURyV8Rtu,https://www.youtube.com/watch?v=Bnim65b2NLo,PT1M33S,https://www.youtube.com/watch?v=VMkHoVnFu20,PT4M17S
Se...,Djavan,Coisa de Acender,1992-03-25,291533,https://open.spotify.com/track/0PgsB53yhlKs8D19LgYU4i,https://www.youtube.com/watch?v=rIcZ6X0jIl4,PT2M25S,https://www.youtube.com/watch?v=KLeiK0whCdY,PT5M21S
Depois,Marisa Monte,O Que Você Quer Saber de Verdade,2011-01-01,173586,https://open.spotify.com/track/2yeI0FRWd1sqGpHEUc5DFm,https://www.youtube.com/watch?v=RE4-dPzvXIo,PT47S,https://www.youtube.com/watch?v=Q4HNtmbUyXk,PT2M5S
Boa Sorte / Good Luck (feat. Ben Harper),Vanessa Da Mata,Sim,2007,235600,https://open.spotify.com/track/6A3Q8BVAAI2PW1s6MX4ZGF,,,https://www.youtube.com/watch?v=HslJFxYwIWE,PT26S
Eu Te Devoro - Ao Vivo,Djavan,Ária (Ao Vivo),2011-07-18,308413,https://open.spotify.com/track/2Px3PZ2qq2uFpRBpfVx8A5,https://www.youtube.com/watch?v=_dnB4nWckxg,PT5M,https://www.youtube.com/watch?v=7h_1cKuXBL4,PT4M15S
Não Vá Embora - 2004 Digital Remaster,Marisa Monte,"Memórias, Crônicas e Declarações de Amor",2000-01-01,216613,https://open.spotify.com/track/7o5VPajBu55TxEjCQs05uw,,,,
Borbulhas de Amor (Tenho um Coração) [Borbujas de Amor],Fagner,Pedras Que Cantam,1991-03-04,249280,https://open.spotify.com/track/3pUQEJXwmnooceL5DqluNA,,,,
O Caderno,Toquinho,Seu Violão e Suas Canções Vol. 1,2010-07-24,135133,https://open.spotify.com/track/1yctSMp7P3SkSCHsnkUI7b,https://www.youtube.com/watch?v=7rQ3rnrZxnY,PT3M37S,https://www.youtube.com/watch?v=p5B_oanS0sY,PT2M31S
Se Ainda Existe Amor,Balthazar,Cartas De Amor,2022-02-25,184499,https://open.spotify.com/track/3a9KbYhWqorkZPF0pFFPhE,https://www.youtube.com/watch?v=nyXeCuCQzzg,PT3M36S,https://www.youtube.com/watch?v=EAYTOX-VzYc,PT20S
Gente Tem Sobrenome,"Toquinho E Banda, Orquestra E Coro Do Projeto Guri",Herdeiros Do Futuro,2007-09-01,166813,https://open.spotify.com/track/4Gndr22JnGpVnaLX1J5S52,,,https://www.youtube.com/watch?v=2jzvNQw8hHY,PT4M9S
Vilarejo,Marisa Monte,Infinito Particular,2006-01-01,209546,https://open.spotify.com/track/4qvUtYRNwmFzfJ2loWkQCH,,,https://www.youtube.com/watch?v=TrdtnUwTg5o,PT4M23S
Espetáculo estranho,ANAVITÓRIA,Esquinas,2024-12-12,212699,https://open.spotify.com/track/7325x5azZOlWkYL9EpnqW5,,,https://www.youtube.com/watch?v=bT8xvZxv0zk,PT8M1S
