Track Name,Artist,Album,Release Date,Popularity,Duration (ms),Track URL,Piano Solo Video,Duration (min:sec)
Ainda Bem,Marisa Monte,O Que Você Quer Saber de Verdade,2011-01-01,61,215520,https://open.spotify.com/track/43BCxznTSBLcXzu4lJ8KW5,https://www.youtube.com/watch?v=Cqcv-hPTUh4,3:35
O bêbado e a equilibrista,Elis Regina,Essa Mulher,1979-05-17,50,231358,https://open.spotify.com/track/3eVyDZXJPJzUKkyWP6eLyc,https://www.youtube.com/watch?v=0dK_iLx2FQc,3:51
Poema,Ney Matogrosso,Olhos De Farol,1999,60,262533,https://open.spotify.com/track/7qvL8BbYdxvhOinapMiEeF,https://www.youtube.com/watch?v=bN_3WX1pN84,4:22
Oração Ao Tempo - Remixed Original Album,Caetano Veloso,Cinema Transcendental,1979-01-01,47,206906,https://open.spotify.com/track/7oz1o6N5NDdTXQCZSfB3SO,https://www.youtube.com/watch?v=wFZx3Fz2NHM,3:26
Rio 40 Graus (feat. Fausto Fawcett) - Medley,Fernanda Abreu,SLA² ~ Be Sample,1992-07-05,32,309033,https://open.spotify.com/track/0gDi3bgUagARXB0xMj1wXs,,5:09
Como Nossos Pais,Elis Regina,Falso Brilhante,1976-01-05,60,261600,https://open.spotify.com/track/2ZC8sdv4Kvuql7Q9T8Agzv,https://www.youtube.com/watch?v=aH9wagWQZgU,4:21
Amado,Vanessa Da Mata,Sim,2007,61,249973,https://open.spotify.com/track/1h0f2T0DT3EVYnURyV8Rtu,https://www.youtube.com/watch?v=cF7smZQ5KWU,4:09
Apesar De Você,Chico Buarque,Chico Buarque,1978-01-01,60,235546,https://open.spotify.com/track/2GAFZG9Z7UGS1iMm4Idrnr,https://www.youtube.com/watch?v=YZTK4mCfbb0,3:55
Maria Maria,Milton Nascimento,Clube Da Esquina 2,1978-01-02,51,184466,https://open.spotify.com/track/1nl13AcSpiCKdbkhtvJoo7,https://www.youtube.com/watch?v=J1WzbVwxhlw,3:04
Se...,Djavan,Coisa de Acender,1992-03-25,63,291533,https://open.spotify.com/track/0PgsB53yhlKs8D19LgYU4i,https://www.youtube.com/watch?v=hQncT4Hswhw,4:51
Depois,Marisa Monte,O Que Você Quer Saber de Verdade,2011-01-01,63,173586,https://open.spotify.com/track/2yeI0FRWd1sqGpHEUc5DFm,https://www.youtube.com/watch?v=NZWJB7pXLxw,2:53
